id	village	rus_village	lat	lon	lang	aff	family	standard	default_level	dialect_toplevel	dialect_toplevel_cyr	dialect_nt1	dialect_nt1_cyr	dialect_nt2	dialect_nt2_cyr	dialect_nt3	dialect_nt3_cyr	village_dialect	gltc_lang	lang_col	aff_col	dataset_version
16	Kurag	Кураг	41.836764	47.661351	Agul	Lezgic	East Caucasian		Agul	Kurag	Курагский							Kurag	aghu1253	#00cc66	#00cc66	31.01.2022
17	Khudig	Худиг	41.85373	47.65854	Agul	Lezgic	East Caucasian		Agul	Koshan	Кошанский							Khudig	aghu1253	#00cc66	#00cc66	31.01.2022
18	Arsug	Арсуг	41.86408	47.65011	Agul	Lezgic	East Caucasian		Agul	Koshan	Кошанский							Arsug	aghu1253	#00cc66	#00cc66	31.01.2022
19	Burshag	Буршаг	41.89626	47.64102	Agul	Lezgic	East Caucasian		Agul	Koshan	Кошанский							Burshag	aghu1253	#00cc66	#00cc66	31.01.2022
20	Tsirkhe	Цирхе	41.91513	47.59679	Agul	Lezgic	East Caucasian		Agul	Tsirkhe	Цирхекский							Tsirkhe	aghu1253	#00cc66	#00cc66	31.01.2022
21	Gelinbatan	Гелинбатан	41.94722	48.16722	Agul	Lezgic	East Caucasian		Agul	Fite	Фитинский							Gelinbatan	aghu1253	#00cc66	#00cc66	31.01.2022
22	Ratlub	Ратлуб	42.359268	46.433433	Akhvakh	Andic	East Caucasian		Akhvakh	Southern Akhvakh	Южноахвахский							Ratlub	akhv1239	#9900ff	#9900ff	31.01.2022
23	Tsekob	Цекоб	42.422785	46.450219	Akhvakh	Andic	East Caucasian		Akhvakh	Southern Akhvakh	Южноахвахский							Tsekob	akhv1239	#9900ff	#9900ff	31.01.2022
24	Tlyanub	Тлянуб	42.43568	46.45745	Akhvakh	Andic	East Caucasian		Akhvakh	Southern Akhvakh	Южноахвахский							Tlyanub	akhv1239	#9900ff	#9900ff	31.01.2022
25	Lologonitl'	Лологонитль	42.51398	46.33093	Akhvakh	Andic	East Caucasian		Akhvakh	Northern Akhvakh	Северноахвахский							Lologonitl'	akhv1239	#9900ff	#9900ff	31.01.2022
26	Izano	Изано	42.52735	46.40389	Akhvakh	Andic	East Caucasian		Akhvakh	Northern Akhvakh	Северноахвахский							Izano	akhv1239	#9900ff	#9900ff	31.01.2022
27	Kudiyabroso	Кудиябросо	42.541069	46.377932	Akhvakh	Andic	East Caucasian		Akhvakh	Northern Akhvakh	Северноахвахский							Kudiyabroso	akhv1239	#9900ff	#9900ff	31.01.2022
28	Tad-Magitl'	Тад-магитль	42.550266	46.348953	Akhvakh	Andic	East Caucasian		Akhvakh	Northern Akhvakh	Северноахвахский							Tad-Magitl'	akhv1239	#9900ff	#9900ff	31.01.2022
29	Tsvakilkolo	Цвакилколо	42.55213	46.35351	Akhvakh	Andic	East Caucasian		Akhvakh	Northern Akhvakh	Северноахвахский							Tsvakilkolo	akhv1239	#9900ff	#9900ff	31.01.2022
30	Kvankero	Кванкеро	42.55244	46.3404	Akhvakh	Andic	East Caucasian		Akhvakh	Northern Akhvakh	Северноахвахский							Kvankero	akhv1239	#9900ff	#9900ff	31.01.2022
31	Kvankhidatl’	Кванхидатль	42.65789	46.271742	Andi	Andic	East Caucasian		Andi	Lower Andi	Нижнеандийский							Kvankhidatli	andi1255	#003366	#9900ff	31.01.2022
32	Muni	Муни	42.680242	46.308874	Andi	Andic	East Caucasian		Andi	Lower Andi	Нижнеандийский							Muni	andi1255	#003366	#9900ff	31.01.2022
33	Mekheturi	Мехетури	42.70556	46.2375	Andi	Andic	East Caucasian		Andi									Mekheturi	andi1255	#003366	#9900ff	31.01.2022
34	Shivor	Шивор	42.714662	46.256637	Andi	Andic	East Caucasian		Andi									Shivor	andi1255	#003366	#9900ff	31.01.2022
35	Rushukha	Рушуха	42.71509	46.28112	Andi	Andic	East Caucasian		Andi									Rushukha	andi1255	#003366	#9900ff	31.01.2022
36	Chanko	Чанко	42.717936	46.246417	Andi	Andic	East Caucasian		Andi	Upper Andi	Верхнеандийский							Chanko	andi1255	#003366	#9900ff	31.01.2022
