id	village	rus_village	lat	lon	lang	aff	family	standard	default_level	dialect_toplevel	dialect_toplevel_cyr	dialect_nt1	dialect_nt1_cyr	dialect_nt2	dialect_nt2_cyr	dialect_nt3	dialect_nt3_cyr	village_dialect	gltc_lang	lang_col	aff_col	dataset_version
227	Obokh	Обох	42.28362	47.03734	Avar	Avar	East Caucasian		Avar	Southern Avar	Южноаварский	Andalal	Андалальский	Obokh	Обохский	NA	NA	Obokh	avar1256	#009999	#009999	2022-03-07
228	Gamsutl'	Гамсутль	42.301972	46.996315	Avar	Avar	East Caucasian		Avar	Southern Avar	Южноаварский	Andalal	Андалальский	Gamsutl'	Гамсутлинский	NA	NA	Gamsutl'	avar1256	#009999	#009999	2022-03-07
229	Kversatl'	Кверсатль	42.302562	46.392793	Avar	Avar	East Caucasian		Avar	Southern Avar	Южноаварский	Antsukh	Анцухский	Antsrosunkhada	Анцросунхадинский	Kosob	Кособский	Kversatl'	avar1256	#009999	#009999	2022-03-07
230	Somoda	Сомода	42.30272	46.5368	Avar	Avar	East Caucasian		Avar	Southern Avar	Южноаварский	Keleb Mixed	Келебский смешанный	NA	NA	NA	NA	Somoda	avar1256	#009999	#009999	2022-03-07
231	Batsada	Бацада	42.3036	46.9092	Avar	Avar	East Caucasian		Avar	Southern Avar	Южноаварский	Batsada Mixed	Бацадинский смешанный	NA	NA	NA	NA	Batsada	avar1256	#009999	#009999	2022-03-07
232	Kishdatl'	Кишдатль	42.304638	46.342239	Avar	Avar	East Caucasian		Avar	NA	NA	NA	NA	NA	NA	NA	NA	Kishdatl'	avar1256	#009999	#009999	2022-03-07
233	Sshulani	Щулани	42.3067	46.9294	Avar	Avar	East Caucasian		Avar	Southern Avar	Южноаварский	Shulani Mixed	Шуланибский смешанный	NA	NA	NA	NA	Shulani	avar1256	#009999	#009999	2022-03-07
234	Izta	Изта	42.30889	46.35667	Avar	Avar	East Caucasian		Avar	NA	NA	NA	NA	NA	NA	NA	NA	Izta	avar1256	#009999	#009999	2022-03-07
235	Mikdatl'	Микдатль	42.309412	46.380732	Avar	Avar	East Caucasian		Avar	Southern Avar	Южноаварский	Antsukh	Анцухский	Antsrosunkhada	Анцросунхадинский	NA	NA	Mikdatl'	avar1256	#009999	#009999	2022-03-07
236	Tilanib	Тиланиб	42.310964	46.366528	Avar	Avar	East Caucasian		Avar	NA	NA	NA	NA	NA	NA	NA	NA	Tilanib	avar1256	#009999	#009999	2022-03-07
237	Sabda	Сабда	42.311355	46.371346	Avar	Avar	East Caucasian		Avar	NA	NA	NA	NA	NA	NA	NA	NA	Sabda	avar1256	#009999	#009999	2022-03-07
238	Unty	Унты	42.311452	46.944631	Avar	Avar	East Caucasian		Avar	NA	NA	NA	NA	NA	NA	NA	NA	Unty	avar1256	#009999	#009999	2022-03-07
239	Kulla	Кулла	42.31346	46.91014	Avar	Avar	East Caucasian		Avar	NA	NA	NA	NA	NA	NA	NA	NA	Kulla	avar1256	#009999	#009999	2022-03-07
240	Rugel'da	Ругельда	42.3175	46.5244	Avar	Avar	East Caucasian		Avar	Southern Avar	Южноаварский	Keleb Mixed	Келебский смешанный	NA	NA	NA	NA	Rugel'da	avar1256	#009999	#009999	2022-03-07
241	Chokh	Чох	42.3206	47.0336	Avar	Avar	East Caucasian		Avar	Southern Avar	Южноаварский	Andalal	Андалальский	Chokh	Чохский	NA	NA	Chokh	avar1256	#009999	#009999	2022-03-07
242	Urchukh	Урчух	42.325548	46.495518	Avar	Avar	East Caucasian		Avar	Southern Avar	Южноаварский	Keleb Mixed	Келебский смешанный	NA	NA	NA	NA	Urchukh	avar1256	#009999	#009999	2022-03-07
243	Unkida	Ункида	42.328698	46.885731	Avar	Avar	East Caucasian		Avar	Southern Avar	Южноаварский	Andalal	Андалальский	Rugudzha	Ругуджинский	NA	NA	Unkida	avar1256	#009999	#009999	2022-03-07
244	Musrukh	Мусрух	42.32897	46.51614	Avar	Avar	East Caucasian		Avar	NA	NA	NA	NA	NA	NA	NA	NA	Musrukh	avar1256	#009999	#009999	2022-03-07
245	Chuni	Чуни	42.34832	47.30303	Avar	Avar	East Caucasian		Avar	NA	NA	NA	NA	NA	NA	NA	NA	Chuni	avar1256	#009999	#009999	2022-03-07
246	Khopor	Хопор	42.352716	46.937396	Avar	Avar	East Caucasian		Avar	Southern Avar	Южноаварский	Andalal	Андалальский	Rugudzha	Ругуджинский	NA	NA	Khopor	avar1256	#009999	#009999	2022-03-07
247	Rugudzha	Ругуджа	42.3606	46.9139	Avar	Avar	East Caucasian		Avar	Southern Avar	Южноаварский	Andalal	Андалальский	Rugudzha	Ругуджинский	NA	NA	Rugudzha	avar1256	#009999	#009999	2022-03-07
248	Kommuna	Коммуна	42.3656	46.9686	Avar	Avar	East Caucasian		Avar	NA	NA	NA	NA	NA	NA	NA	NA	Kommuna	avar1256	#009999	#009999	2022-03-07
