id,village,lat,lon,lang,idiom,republic,region,elevation,kutans,comment,elevation_ETOPO1,diff
111,Salda,41.97497,46.50848,Avar,NA,Dagestan,NA,1906.43286132813,FALSE,NA,1933,-26.567138671869998
112,Choroda,41.98096,46.49696,Avar,NA,Dagestan,NA,1928.16076660156,FALSE,NA,2110,-181.83923339844
113,Gagar,41.999252,46.592744,Avar,NA,Dagestan,NA,2145.80590820312,FALSE,NA,2349,-203.19409179688
114,Tsimguda,42.01269,46.5665,Avar,NA,Dagestan,NA,2191.39086914062,FALSE,NA,2357,-165.60913085938
115,Tokhota,42.0178,46.4639,Avar,NA,Dagestan,NA,1841.228515625,FALSE,NA,1952,-110.771484375
116,Tlyanada,42.02864,46.51038,Avar,NA,Dagestan,NA,2059.4892578125,FALSE,NA,2104,-44.5107421875
117,Saniorta,42.03195,46.44246,Avar,NA,Dagestan,NA,2015.05883789063,FALSE,NA,2096,-80.94116210937
118,Nitilsukh,42.04732,46.42938,Avar,NA,Dagestan,NA,1975.22106933594,FALSE,NA,2152,-176.77893066406
119,Talsukh,42.04741,46.40589,Avar,NA,Dagestan,NA,1846.36840820313,FALSE,NA,1675,171.36840820313
120,Garakolob,42.048887,46.455015,Avar,NA,Dagestan,NA,2067.20190429687,FALSE,NA,2225,-157.79809570313
121,Ritlyab,42.05087,46.71917,Avar,NA,Dagestan,NA,2259.6943359375,FALSE,NA,2362,-102.3056640625
122,Rosnob,42.055,46.41194,Avar,NA,Dagestan,NA,1732.82592773438,FALSE,NA,1814,-81.17407226562
123,Tsumilukh,42.05974,46.41242,Avar,NA,Dagestan,NA,2022.12145996094,FALSE,NA,1896,126.12145996094
124,Nikar,42.0737,46.406903,Avar,NA,Dagestan,NA,1785.98681640625,FALSE,NA,1796,-10.01318359375
125,Barnab,42.07964,46.37894,Avar,NA,Dagestan,NA,1709.30212402344,FALSE,NA,1812,-102.69787597656
126,Sikar,42.07966,46.41127,Avar,NA,Dagestan,NA,2072.82348632812,FALSE,NA,2053,19.823486328119998
127,Khamar,42.095868,46.383695,Avar,NA,Dagestan,NA,2037.03881835937,FALSE,NA,2222,-184.96118164063
128,Kutlab,42.09663,46.32982,Avar,NA,Dagestan,NA,1740.69677734375,FALSE,NA,1897,-156.30322265625
129,Goab,42.097185,46.738407,Avar,NA,Dagestan,NA,2287.03784179687,FALSE,NA,2379,-91.96215820313
130,Nadar,42.09736,46.36025,Avar,NA,Dagestan,NA,1574.46862792969,FALSE,NA,1801,-226.53137207031
131,Khadiyal,42.0989,46.4653,Avar,NA,Dagestan,NA,1805.21240234375,FALSE,NA,2005,-199.78759765625
132,Chitab,42.10412,46.86914,Avar,NA,Dagestan,NA,1987.51989746094,FALSE,NA,2030,-42.48010253906
133,Tilutl',42.109079,46.350054,Avar,NA,Dagestan,NA,1439.79052734375,FALSE,NA,1513,-73.20947265625
134,Tadiyal,42.11099,46.4823,Avar,NA,Dagestan,NA,2332.18212890625,FALSE,NA,2350,-17.81787109375
135,Kardib,42.111443,46.514655,Avar,NA,Dagestan,NA,2094.64208984375,FALSE,NA,2308,-213.35791015625
136,Tokh-Orda,42.11174,46.35982,Avar,NA,Dagestan,NA,1497.35192871094,FALSE,NA,1700,-202.64807128906
137,Gindib,42.11296,46.50397,Avar,NA,Dagestan,NA,2013.51049804687,FALSE,NA,2171,-157.48950195313
138,Gilib,42.1169,46.7761,Avar,NA,Dagestan,NA,1775.21081542969,FALSE,NA,1927,-151.78918457031
139,Ukal,42.12163,46.34771,Avar,NA,Dagestan,NA,1427.55297851562,FALSE,NA,1513,-85.44702148438
140,Karanub,42.12262,46.81777,Avar,NA,Dagestan,NA,1978.08190917969,FALSE,NA,2205,-226.91809082031
141,Doronub,42.124689,46.809427,Avar,NA,Dagestan,NA,1876.57202148438,FALSE,NA,2205,-328.42797851562
142,Chanab,42.125345,46.90434,Avar,NA,Dagestan,NA,2298.3974609375,FALSE,NA,2250,48.3974609375
143,Kutikh,42.12587,46.78902,Avar,NA,Dagestan,NA,1737.69897460938,FALSE,NA,1920,-182.30102539062
144,Dusrakh,42.1275,46.8792,Avar,NA,Dagestan,NA,1872.45385742188,FALSE,NA,2023,-150.54614257812
145,Chvadab,42.13028,46.87639,Avar,NA,Dagestan,NA,1856.01721191406,FALSE,NA,2023,-166.98278808594
146,Kosroda,42.13141,46.85829,Avar,NA,Dagestan,NA,2096.43188476563,FALSE,NA,2274,-177.56811523437
147,Gendukh,42.13476,46.403084,Avar,NA,Dagestan,NA,1751.52648925781,FALSE,NA,1953,-201.47351074219
148,Gvedysh,42.13591,46.41437,Avar,NA,Dagestan,NA,1853.4951171875,FALSE,NA,2063,-209.5048828125
149,Tlyarobazutl',42.14039,46.77575,Avar,NA,Dagestan,NA,1942.02014160156,FALSE,NA,1920,22.02014160156
150,Nukush,42.1492,46.80579,Avar,NA,Dagestan,NA,1697.74047851563,FALSE,NA,1895,-197.25952148437
151,Tsemer,42.15195,46.75296,Avar,NA,Dagestan,NA,2093.41723632813,FALSE,NA,2251,-157.58276367187
