koryakov_db_id,eng_vil_name,rus_vil_name,lang_1_K,lang_2_K,lang_1_S,lang_2_S,same_languages,name_1885,name_1895,name_1926,name_2010,census_1885,census_1895,census_1926,census_2010,Lat,Lon,Republic,Region,elevation,LevK_comments
2055,Aglobi,Аглоби,тат+,,Lezgian,,FALSE,Аглаби (Агляби),"Аглаби (Агляби, Оглак)",Аглаби,Аглоби,139,145,165,2343,41.90152,48.35017,Daghestan,,17.4916496276856,
2359,Adaga,Адага,Dargwa,кайт.,Dargwa,,TRUE,Адага (Адагай),Адага (Адагай),Адага,Адага,428,418,432,162,42.00972,47.71357,Daghestan,,1109.09155273438,
669,Adanak,Аданак,Kumyk,,Kumyk,,TRUE,,,Аданак,Аданак,,,19,1464,42.7522,47.4586,Daghestan,,297.048889160156,
679,,Аданак-Котан,Kumyk,,,,,,,Аданак-Котан,,,,14,,,,,,,
3665,Adzhidada,Аджидада,Kumyk,,Avar,,FALSE,,,Аджидада,Аджидада,,,147,1645,43.2861,47.0731,Daghestan,,-10.7896680831909,
1539,Adukmakhi,Адукмахи,Dargwa,сев.,Dargwa,,TRUE,,,Адук-Махи,Адукмахи,,,21,0,42.39928,47.401891,Daghestan,,1446.87512207031,
3209,Azadogly,Азадоглы,Lezgian,,Lezgian,,TRUE,Азат-оглы,Азад-оглы (Азадуглы),Азад-Оглы,Азадоглы,36,42,295,1695,41.83019,48.44848,Daghestan,,37.29150390625,
227,,Азалала,Andi,верхне-андийски,,,,,,Азалала,,,,6,,,,,,,
4739,Azilta,Азильта,Tsez,цезский,Tsez,,TRUE,Азильта,Азильта (Азцло),Азильта,Азильта,79,86,21,246,42.260166,45.938182,Daghestan,,1986.77307128906,
727,,Айламабут,Kumyk,,,,,,,Айламабут,,,,6,,,,,,,
9034,,Айлигуб-Махи,Dargwa,цуд.,,,,,Айлигуб-Махи,,,,39,,,,,,,,
657,Aymaki,Аймаки,Avar,,Avar,,TRUE,Аймаки,Аймаки (Аймеки),Аймаки,Аймаки,663,748,884,2342,42.5342,47.1383,Daghestan,,1282.49133300781,
1833,Aymaumakhi,Аймаумахи,Dargwa,сев.,Dargwa,,TRUE,,Аймаула,Аймац-Махи,Аймаумахи,,190,356,255,42.363756,47.575203,Daghestan,,1175.51672363281,
1391,,Айнего-Махи,Dargwa,цуд.,,,,,,Айнего-Махи,,,,22,,,,,,,
1739,Aynikab,Айникаб,Dargwa,цуд.,Dargwa,,TRUE,Айлакав-Махи,Айлакаб-Махи,Айла-Кав,Айникаб,162,195,73,103,42.369307,47.216093,Daghestan,,1565.57507324219,
1293,Aynikabmakhi,Айникабмахи,Dargwa,сев.,Dargwa,,TRUE,Айникаб,Айникаб-Махи,Айни Каб,Айникабмахи,327,373,146,380,42.26679,47.36264,Daghestan,,1481.97375488281,
1599,Aynurbimakhi,Айнурбимахи,Dargwa,сев.,Dargwa,,TRUE,,Айнурби,Айнурви-Махи,Айнурбимахи,,321,390,287,42.29623,47.58462,Daghestan,,1204.91027832031,
1541,Aysalakak,Айсалакак,Dargwa,сев.,Dargwa,,TRUE,,Айсалакак,Айсала-Как,Айсалакак,,45,81,21,42.374896,47.474825,Daghestan,,1476.25439453125,
8017,Aytkhan,Айтхан,,,Andi,,,,,,Айтхан,,,,379,43.69773,46.82498,Daghestan,,-8.53425312042236,
879,Akaytala,Акайтала,Avar,,Avar,,TRUE,,,Акайтала,Акайтала,,,197,688,43.03176,46.92583,Daghestan,,475.864715576172,
1803,,Акаль-Махи,Lak,,,,,,,Акаль-Махи,,,,5,,,,,,,
3897,Akaro (Yazykovka),Акаро,Chechen,,Avar,,FALSE,,,Эзиков,Акаро,,,90,173,43.352007,46.977198,Daghestan,,-7.03167057037354,
1717,,Акасса,Dargwa,сирхинско-тантынский,,,,,,Акасса,,,,5,,,,,,,
4677,Akdy,Акды,Tsez,цезский,Tsez,,TRUE,Акиди,Акиды (Акты),Акти,Акды,65,64,47,53,42.25829,45.82798,Daghestan,,2121.26440429688,
